=== Upper bound on sat_S(n) via Short=smallest-prime strategy ===
n=31..60, time_limit=180.0s/n
  n  π(n)  sat_S_upper   gap    time
 31    11           12     1   0.00s
 32    11           12     1   0.00s
 33    11           12     1   0.00s
 34    11           12     1   0.00s
 35    11           12     1   0.00s
 36    11           12     1   0.00s
 37    12           13     1   0.00s
 38    12           13     1   0.00s
 39    12           13     1   0.00s
 40    12           13     1   0.00s
 41    13           14     1   0.00s
 42    13           14     1   0.00s
 43    14           15     1   0.01s
 44    14           15     1   0.01s
 45    14           15     1   0.01s
 46    14           15     1   0.01s
 47    15           16     1   0.01s
 48    15           16     1   0.02s
 49    15           16     1   0.02s
 50    15           16     1   0.02s
 51    15           16     1   0.02s
 52    15           16     1   0.03s
 53    16           17     1   0.03s
 54    16           17     1   0.03s
 55    16           18     2   0.05s
 56    16           18     2   0.05s
 57    16           18     2   0.04s
 58    16           18     2   0.06s
 59    17           19     2   0.09s
 60    17           19     2   0.07s

Saved /home/user/workspace/erdos872/short_strategy_upper_31_60.json
