=== Upper bound on sat_S(n) via Short=smallest-prime strategy ===
n=61..100, time_limit=600.0s/n
  n  π(n)  sat_S_upper   gap    time
 61    18           20     2   0.12s
 62    18           20     2   0.14s
 63    18           20     2   0.15s
 64    18           20     2   0.16s
 65    18           20     2   0.19s
 66    18           20     2   0.19s
 67    19           21     2   0.30s
 68    19           21     2   0.32s
 69    19           21     2   0.36s
 70    19           21     2   0.36s
 71    20           22     2   0.65s
 72    20           22     2   0.66s
 73    21           23     2   1.19s
 74    21           23     2   1.22s
 75    21           23     2   1.68s
 76    21           23     2   1.69s
 77    21           23     2   2.27s
 78    21           23     2   2.41s
